BANKING_GROUP_CODE,BANKING_GROUP_DESC,H_COUNTRY_CODE
AT001,Erste Bank Group (EBG),AT
AT002,Raiffeisen Bank International (RBI),AT
AT003,Oesterreichische Volksbank AG,AT
BE004,DEXIA,BE
BE005,KBC BANK,BE
CY006,MARFIN POPULAR BANK PUBLIC CO LTD,CY
CY007,BANK OF CYPRUS PUBLIC CO LTD,CY
DE017,DEUTSCHE BANK AG,DE
DE018,COMMERZBANK AG,DE
DE019,Landesbank Baden-Württemberg,DE
DE020,DZ BANK AG Dt. Zentral-Genossenschaftsbank,DE
DE021,Bayerische Landesbank,DE
DE022,Norddeutsche Landesbank -GZ,DE
DE023,"Hypo Real Estate Holding AG, München",DE
DE024,"WestLB AG, Düsseldorf",DE
DE025,"HSH Nordbank AG, Hamburg",DE
DE027,Landesbank Berlin AG,DE
DE028,"DekaBank Deutsche Girozentrale, Frankfurt",DE
DE029,"WGZ BANK AG Westdt. Geno. Zentralbk, Ddf",DE
DK008,DANSKE BANK,DK
DK009,Jyske Bank,DK
DK010,Sydbank,DK
DK011,Nykredit,DK
ES059,BANCO SANTANDER S.A.,ES
ES060,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA),ES
ES061,BFA-BANKIA,ES
ES062,CAJA DE AHORROS Y PENSIONES DE BARCELONA,ES
ES063,EFFIBANK,ES
ES064,"BANCO POPULAR ESPAÑOL, S.A.",ES
ES065,"BANCO DE SABADELL, S.A.",ES
ES066,"CAIXA D'ESTALVIS DE CATALUNYA, TARRAGONA I MANRESA",ES
ES067,"CAIXA DE AFORROS DE GALICIA, VIGO, OURENSE E PONTEVEDRA",ES
ES068,GRUPO BMN,ES
ES069,"BANKINTER, S.A.",ES
ES070,"CAJA ESPAÑA DE INVERSIONES, SALAMANCA Y SORIA, CAJA DE AHORROS Y MONTE DE PIEDAD",ES
ES071,GRUPO BANCA CIVICA,ES
ES072,"CAJA DE AHORROS Y M.P. DE ZARAGOZA, ARAGON Y RIOJA",ES
ES073,"MONTE DE PIEDAD Y CAJA DE AHORROS DE RONDA, CADIZ, ALMERIA, MALAGA, ANTEQUERA Y JAEN",ES
ES074,"BANCO PASTOR, S.A.",ES
ES075,GRUPO BBK,ES
ES076,"CAIXA D'ESTALVIS UNIO DE CAIXES DE MANLLEU, SABADELL I TERRASSA",ES
ES077,CAJA DE AHORROS Y M.P. DE GIPUZKOA Y SAN SEBASTIAN,ES
ES078,GRUPO CAJA3,ES
ES079,"BANCA MARCH, S.A.",ES
ES080,CAJA DE AHORROS DE VITORIA Y ALAVA,ES
ES081,CAJA DE AHORROS Y M.P. DE ONTINYENT,ES
ES082,COLONYA - CAIXA D'ESTALVIS DE POLLENSA,ES
ES083,CAJA DE AHORROS DEL MEDITERRANEO,ES
FI012,OP-Pohjola Group,FI
FR013,BNP PARIBAS,FR
FR014,CREDIT AGRICOLE,FR
FR015,BPCE,FR
FR016,SOCIETE GENERALE,FR
GB088,ROYAL BANK OF SCOTLAND GROUP plc,GB
GB089,HSBC HOLDINGS plc,GB
GB090,BARCLAYS plc,GB
GB091,LLOYDS BANKING GROUP plc,GB
GR030,EFG EUROBANK ERGASIAS S.A.,GR
GR031,NATIONAL BANK OF GREECE,GR
GR032,ALPHA BANK,GR
GR033,PIRAEUS BANK GROUP,GR
GR034,AGRICULTURAL BANK OF GREECE S.A. (ATEbank),GR
GR035,TT HELLENIC POSTBANK S.A.,GR
HU036,OTP BANK NYRT.,HU
IE037,ALLIED IRISH BANKS PLC,IE
IE038,BANK OF IRELAND,IE
IE039,IRISH LIFE AND PERMANENT,IE
IT040,INTESA SANPAOLO S.p.A,IT
IT041,UNICREDIT S.p.A,IT
IT042,BANCA MONTE DEI PASCHI DI SIENA S.p.A,IT
IT043,BANCO POPOLARE - S.C.,IT
IT044,UNIONE DI BANCHE ITALIANE SCPA (UBI BANCA),IT
LU045,BANQUE ET CAISSE D'EPARGNE DE L'ETAT,LU
MT046,BANK OF VALLETTA (BOV),MT
NL047,ING BANK NV,NL
NL048,RABOBANK NEDERLAND,NL
NL049,ABN AMRO BANK NV,NL
NL050,SNS BANK NV,NL
NO051,DnB NOR Bank ASA,NO
PL052,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI S.A. (PKO BANK POLSKI),PL
PT053,"CAIXA GERAL DE DEPÓSITOS, SA",PT
PT054,"BANCO COMERCIAL PORTUGUÊS, SA (BCP OR MILLENNIUM BCP)",PT
PT055,"ESPÍRITO SANTO FINANCIAL GROUP, SA (ESFG)",PT
PT056,"Banco BPI, SA",PT
SE084,Nordea Bank AB (publ),SE
SE085,Skandinaviska Enskilda Banken AB (publ) (SEB),SE
SE086,Svenska Handelsbanken AB (publ),SE
SE087,Swedbank AB (publ),SE
SI057,NOVA LJUBLJANSKA BANKA D.D. (NLB d.d.),SI
SI058,NOVA KREDITNA BANKA MARIBOR D.D. (NKBM d.d.),SI
